epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,921.741,1.20143,1.16614,1.42588,0.6765,0.81734,0.80378,0.48561,1.3472,1.10897,1.47372,0.000307,0.000307,0.000307
44,943.098,1.19992,1.14828,1.41967,0.74493,0.79332,0.80474,0.47889,1.3863,1.12111,1.52546,0.0002905,0.0002905,0.0002905
45,964.518,1.21101,1.15209,1.42211,0.80709,0.73893,0.78715,0.46893,1.35016,1.11956,1.50256,0.000274,0.000274,0.000274
46,985.889,1.1975,1.1421,1.41991,0.68539,0.81393,0.78352,0.46523,1.41242,1.1015,1.52168,0.0002575,0.0002575,0.0002575
47,1007.1,1.21026,1.13225,1.41975,0.73655,0.76593,0.79384,0.47177,1.38704,1.18248,1.52862,0.000241,0.000241,0.000241
48,1028.3,1.19717,1.12604,1.40787,0.77878,0.82175,0.84116,0.51663,1.36866,1.06022,1.54656,0.0002245,0.0002245,0.0002245
49,1049.66,1.17734,1.10921,1.40332,0.77806,0.77088,0.82412,0.51012,1.31814,1.03177,1.49565,0.000208,0.000208,0.000208
50,1070.94,1.1793,1.10569,1.4016,0.78578,0.7441,0.78765,0.48847,1.2928,1.05714,1.46617,0.0001915,0.0001915,0.0001915
51,1091.07,1.20533,1.09258,1.4702,0.83075,0.76818,0.8218,0.49865,1.33261,1.1019,1.50514,0.000175,0.000175,0.000175
52,1111.22,1.17684,1.03991,1.45854,0.86438,0.7964,0.85611,0.51857,1.33068,1.10845,1.50108,0.0001585,0.0001585,0.0001585
53,1131.67,1.18224,1.02653,1.44782,0.79169,0.744,0.79068,0.46795,1.37239,1.1366,1.5555,0.000142,0.000142,0.000142
54,1151.77,1.15834,1.00695,1.44635,0.83755,0.77389,0.81546,0.52305,1.32875,1.06008,1.52239,0.0001255,0.0001255,0.0001255
55,1172.03,1.13765,0.98741,1.43304,0.73783,0.73104,0.80771,0.51089,1.29445,1.0406,1.47163,0.000109,0.000109,0.000109
56,1192.09,1.1413,0.98691,1.43272,0.81014,0.71148,0.79154,0.49523,1.29009,1.07234,1.47015,9.25e-05,9.25e-05,9.25e-05
57,1212.25,1.12834,0.95552,1.41473,0.70598,0.81093,0.7942,0.51065,1.3205,1.03601,1.49016,7.6e-05,7.6e-05,7.6e-05
58,1232.61,1.116,0.95222,1.42005,0.69306,0.79051,0.78111,0.48899,1.34773,1.02903,1.49943,5.95e-05,5.95e-05,5.95e-05
59,1252.78,1.11532,0.94703,1.41354,0.68471,0.8122,0.80113,0.50987,1.32547,1.02681,1.49897,4.3e-05,4.3e-05,4.3e-05
60,1272.97,1.11148,0.94533,1.41299,0.70348,0.8289,0.79646,0.50666,1.3094,1.0436,1.48481,2.65e-05,2.65e-05,2.65e-05
